timestamp,student_id,alert_type,state,attention_score,liveness_score,face_similarity,ear,mar,yaw,pitch,image_path
2026-05-21 09:38:47,202417140,Frequent Distraction,DISTRACTED,98.60,0.500,0.999,0.2766,0.4192,-7.52,-179.62,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260521_093847.jpg
2026-05-28 10:35:54,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Unknown Student ID,DISTRACTED,99.90,0.500,0.000,0.2231,0.4312,-12.66,-175.86,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\unknown_student_id_20260528_103554.jpg
2026-05-28 10:35:54,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Frequent Distraction,DISTRACTED,98.77,0.523,0.000,0.2298,0.4271,-11.47,-174.13,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103554.jpg
2026-05-28 10:35:54,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Multiple Faces Detected,DISTRACTED,98.69,0.526,0.000,0.2506,0.4191,-10.89,-173.44,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260528_103554.jpg
2026-05-28 10:35:59,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Unknown Student ID,DISTRACTED,89.67,1.000,0.000,0.2582,0.4059,-44.52,-176.82,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\unknown_student_id_20260528_103559.jpg
2026-05-28 10:35:59,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Sustained Distraction,DISTRACTED,89.29,1.000,0.000,0.2570,0.3966,-42.91,-176.73,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260528_103559.jpg
2026-05-28 10:35:59,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Frequent Distraction,DISTRACTED,88.58,1.000,0.000,0.2568,0.3990,-42.47,-177.42,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103559.jpg
2026-05-28 10:35:59,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Multiple Faces Detected,DISTRACTED,88.58,1.000,0.000,0.2568,0.3990,-42.47,-177.42,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260528_103559.jpg
2026-05-28 10:36:04,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Unknown Student ID,DISTRACTED,81.12,1.000,0.000,0.2276,0.4197,-42.64,-177.79,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\unknown_student_id_20260528_103604.jpg
2026-05-28 10:36:04,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Frequent Distraction,DISTRACTED,80.05,1.000,0.000,0.2236,0.3991,-33.80,-175.40,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103604.jpg
2026-05-28 10:36:04,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Multiple Faces Detected,DISTRACTED,80.05,1.000,0.000,0.2236,0.3991,-33.80,-175.40,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260528_103604.jpg
2026-05-28 10:36:06,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Sustained Distraction,DISTRACTED,77.27,1.000,0.000,0.2199,0.3722,4.17,-172.09,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260528_103606.jpg
2026-05-28 10:36:09,"python -u ""c:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\main.py""",Unknown Student ID,DISTRACTED,71.07,1.000,0.000,0.2877,0.3699,27.35,-174.08,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\unknown_student_id_20260528_103609.jpg
2026-05-28 10:36:20,202417140,Frequent Distraction,DISTRACTED,98.76,0.500,0.998,0.2202,0.3400,-0.80,-169.39,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103620.jpg
2026-05-28 10:36:25,202417140,Frequent Distraction,ABSENT,87.40,0.000,0.000,0.0000,0.0000,0.00,0.00,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103625.jpg
2026-05-28 10:36:26,202417140,Identity Mismatch,DISTRACTED,81.22,1.000,0.812,0.2245,0.3984,79.46,-21.22,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\identity_mismatch_20260528_103626.jpg
2026-05-28 10:36:27,202417140,Multiple Faces Detected,DISTRACTED,78.70,1.000,0.980,0.2031,0.4273,-43.96,-175.58,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260528_103627.jpg
2026-05-28 10:36:30,202417140,Frequent Distraction,DISTRACTED,73.73,1.000,0.996,0.2164,0.4113,6.25,-179.89,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103630.jpg
2026-05-28 10:36:32,202417140,Progressive Drowsiness,DISTRACTED,70.76,1.000,0.992,0.2199,0.3651,-25.95,-177.56,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\progressive_drowsiness_20260528_103632.jpg
2026-05-28 10:36:32,202417140,Rapid Attention Drop,DISTRACTED,69.69,1.000,0.995,0.2416,0.4319,-20.68,-177.77,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\rapid_attention_drop_20260528_103632.jpg
2026-05-28 10:36:35,202417140,Frequent Distraction,DISTRACTED,64.56,1.000,0.994,0.2170,0.4408,-25.83,-179.03,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103635.jpg
2026-05-28 10:36:36,202417140,Sustained Distraction,DISTRACTED,63.42,1.000,0.993,0.2124,0.4470,-22.30,-175.91,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260528_103636.jpg
2026-05-28 10:36:37,202417140,Attention Score Warning,DISTRACTED,59.97,1.000,1.000,0.2691,0.3527,-2.52,-175.80,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\attention_score_warning_20260528_103637.jpg
2026-05-28 10:36:38,202417140,Rapid Attention Drop,DISTRACTED,59.64,1.000,1.000,0.2687,0.3430,3.28,-175.12,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\rapid_attention_drop_20260528_103637.jpg
