student,total_seconds,final_attention_score,ok_seconds,distracted_seconds,sleeping_seconds,talking_seconds,phone_usage_seconds,body_only_seconds,absent_seconds,pattern_alerts
Student_1,5.79,87.71,3.5,0.0,0.0,0.0,0.0,0.0,2.29,
Student_10,2.25,88.92,0.12,0.04,0.0,0.0,0.0,0.0,2.08,Progressive Drowsiness:1
Student_11,2.79,86.37,0.25,0.0,0.0,0.0,0.0,0.0,2.54,
Student_12,2.08,89.42,0.08,0.0,0.0,0.0,0.0,0.0,2.0,Progressive Drowsiness:1
Student_13,2.17,88.83,0.04,0.04,0.0,0.0,0.0,0.0,2.08,Progressive Drowsiness:1
Student_14,2.17,89.42,0.17,0.0,0.0,0.0,0.0,0.0,2.0,
Student_15,2.67,87.12,0.25,0.0,0.0,0.0,0.0,0.0,2.42,
Student_16,2.04,89.42,0.04,0.0,0.0,0.0,0.0,0.0,2.0,Progressive Drowsiness:1
Student_17,2.42,89.42,0.42,0.0,0.0,0.0,0.0,0.0,2.0,
Student_2,14.33,68.67,4.21,6.08,0.0,0.0,0.0,0.0,4.04,Frequent Distraction:1; Rapid Attention Drop:1
Student_3,16.92,60.31,6.83,3.58,0.0,0.0,0.0,0.0,6.5,Frequent Distraction:1; Rapid Attention Drop:1
Student_4,8.21,84.67,2.79,3.25,0.0,0.0,0.0,0.0,2.17,Frequent Distraction:1
Student_5,5.42,76.21,0.33,1.25,0.0,0.0,0.0,0.0,3.83,Frequent Distraction:1
Student_6,2.42,89.42,0.42,0.0,0.0,0.0,0.0,0.0,2.0,
Student_7,4.37,82.87,0.58,0.92,0.0,0.0,0.0,0.0,2.87,Frequent Distraction:1
Student_8,2.04,89.42,0.04,0.0,0.0,0.0,0.0,0.0,2.0,
Student_9,3.29,89.42,1.21,0.08,0.0,0.0,0.0,0.0,2.0,
Body_1,0.21,100.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,
Body_10,1.96,100.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,
Body_11,0.42,100.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,
Body_12,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,
Body_2,2.83,100.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,
Body_3,0.17,100.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,
Body_4,0.38,100.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,
Body_5,4.17,100.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,
Body_6,0.29,100.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
Body_7,0.29,100.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,
Body_8,1.58,100.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,
Body_9,0.12,100.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,
